FechaPrestamo;EdadPrestamo;MontoPrestado;Cuotas
20/12/2018 0:00;64;1221;4
21/12/2017 0:00;49;932;4
02/03/2007 0:00;45;883;8
13/11/2007 0:00;41;626;8
26/01/2011 0:00;57;786;4
04/04/2023 0:00;72;796;4
18/12/2015 0:00;66;764;4
05/08/2008 0:00;52;629;8
22/06/2006 0:00;44;648;8
13/11/2007 0:00;30;1074;8
06/07/2007 0:00;31;454;8
26/08/2015 0:00;36;864;4
06/07/2007 0:00;45;775;8
26/01/2011 0:00;44;565;4
13/11/2007 0:00;33;722;8
23/12/2009 0:00;44;626;4
23/12/2009 0:00;32;756;4
23/12/2009 0:00;42;711;4
06/07/2007 0:00;41;875;8
31/08/2009 0:00;34;863;8
05/08/2008 0:00;30;754;8
04/04/2023 0:00;63;984;4
13/11/2007 0:00;60;588;8
26/01/2011 0:00;41;609;4
23/04/2019 0:00;44;912;4
21/12/2016 0:00;31;927;4
04/04/2023 0:00;39;1074;4
24/04/2009 0:00;32;525;8
04/04/2023 0:00;44;675;4
23/12/2019 0:00;60;495;4
26/08/2015 0:00;35;824;4
25/04/2017 0:00;46;732;4
31/08/2009 0:00;41;889;8
24/04/2013 0:00;33;752;4
05/05/2010 0:00;30;810;4
25/04/2016 0:00;41;756;4
20/03/2012 0:00;39;860;4
28/08/2018 0:00;53;559;4
24/04/2013 0:00;37;1136;4
31/08/2013 0:00;48;686;4
23/04/2019 0:00;61;807;4
18/12/2014 0:00;53;1183;4
13/11/2020 0:00;46;780;4
20/12/2018 0:00;44;1096;4
18/12/2015 0:00;40;993;4
04/04/2023 0:00;40;997;4
21/12/2017 0:00;41;984;4
04/04/2023 0:00;66;948;4
04/04/2023 0:00;25;836;4
04/04/2023 0:00;29;1006;4
04/04/2023 0:00;45;693;4
04/04/2023 0:00;72;833;4
04/04/2023 0:00;34;701;4
28/08/2018 0:00;27;862;4
20/12/2018 0:00;21;826;4
04/04/2023 0:00;46;807;4
26/08/2019 0:00;22;1124;4
04/04/2023 0:00;54;748;4
13/11/2020 0:00;50;942;4
09/07/2020 0:00;34;1107;4
28/11/2022 0:00;50;800;4
04/04/2023 0:00;43;964;4
20/07/2022 0:00;55;712;4
04/04/2023 0:00;68;485;4
17/11/2021 0:00;27;687;4
04/04/2023 0:00;48;656;4
04/04/2023 0:00;60;856;4
28/11/2022 0:00;30;880;4
04/04/2023 0:00;37;669;4
28/11/2022 0:00;37;874;4
04/04/2023 0:00;75;1050;4
20/07/2022 0:00;30;586;4
28/11/2022 0:00;52;1000;4
04/04/2023 0:00;55;982;4
04/04/2023 0:00;36;623;4
04/04/2023 0:00;36;1107;4
04/04/2023 0:00;63;702;4
20/01/2006 0:00;47;503;8
13/12/2007 0:00;51;764;8
29/05/2012 0:00;40;1120;4
06/06/2006 0:00;36;1005;8
21/02/2014 0:00;57;649;4
02/10/2012 0:00;42;518;4
24/09/2008 0:00;33;637;8
06/06/2006 0:00;30;1055;8
13/12/2007 0:00;25;569;8
22/12/2017 0:00;66;688;4
06/06/2006 0:00;29;810;8
30/03/2016 0:00;56;921;4
13/12/2007 0:00;21;596;8
22/12/2017 0:00;52;566;4
06/06/2006 0:00;45;824;8
03/11/2006 0:00;24;1012;8
03/11/2006 0:00;22;905;8
13/12/2007 0:00;27;890;8
21/02/2014 0:00;50;925;4
19/11/2015 0:00;55;575;4
04/05/2011 0:00;34;765;4
22/12/2017 0:00;66;658;4
27/07/2007 0:00;28;636;8
27/07/2007 0:00;24;687;8
27/07/2007 0:00;21;828;8
13/12/2007 0:00;43;882;8
24/09/2008 0:00;26;586;8
24/09/2008 0:00;23;637;8
25/11/2009 0:00;27;735;4
12/08/2016 0:00;59;1078;4
06/03/2015 0:00;59;544;4
31/10/2014 0:00;69;1016;4
02/10/2012 0:00;62;626;4
31/08/2017 0:00;35;625;4
12/08/2016 0:00;46;716;4
19/11/2015 0:00;25;632;4
09/04/2010 0:00;26;710;4
09/04/2010 0:00;65;778;4
02/10/2012 0:00;45;697;4
02/10/2012 0:00;24;558;4
22/12/2017 0:00;32;954;4
12/08/2016 0:00;62;541;4
22/12/2017 0:00;38;672;4
30/03/2016 0:00;29;1130;4
18/10/2013 0:00;25;781;4
14/06/2013 0:00;40;939;4
09/02/2013 0:00;36;660;4
27/06/2014 0:00;34;691;4
22/12/2017 0:00;72;644;4
26/12/2016 0:00;27;934;4
09/07/2015 0:00;41;757;4
30/03/2016 0:00;37;768;4
22/12/2017 0:00;43;767;4
22/12/2017 0:00;54;656;4
30/03/2016 0:00;26;516;4
30/03/2016 0:00;34;973;4
22/12/2017 0:00;33;586;4
22/12/2017 0:00;31;1032;4
04/12/2009 0:00;55;1110;4
28/02/2008 0:00;61;664;8
08/09/2005 0:00;36;913;8
30/07/2019 0:00;70;650;4
30/07/2019 0:00;56;863;4
08/09/2005 0:00;45;454;8
30/12/2015 0:00;36;993;4
22/10/2007 0:00;36;871;8
29/10/2013 0:00;49;891;4
18/08/2010 0:00;47;1123;4
30/07/2019 0:00;49;692;4
03/07/2008 0:00;41;661;8
30/07/2019 0:00;54;701;4
19/03/2009 0:00;40;944;8
29/04/2011 0:00;39;1092;4
29/04/2011 0:00;45;906;4
24/01/2012 0:00;59;746;4
24/07/2009 0:00;55;852;8
02/10/2006 0:00;28;844;8
26/05/2006 0:00;29;757;8
03/07/2008 0:00;50;901;8
08/03/2019 0:00;63;848;4
11/10/2017 0:00;54;699;4
22/10/2007 0:00;50;752;8
03/07/2008 0:00;48;577;8
30/07/2019 0:00;51;678;4
05/02/2007 0:00;35;793;8
03/07/2008 0:00;26;524;8
05/02/2007 0:00;32;1013;8
08/09/2011 0:00;50;816;4
24/10/2018 0:00;70;872;4
24/10/2018 0:00;67;731;4
19/03/2009 0:00;33;508;8
08/03/2019 0:00;33;624;4
03/07/2008 0:00;38;952;8
19/03/2009 0:00;28;997;8
11/11/2008 0:00;38;885;8
19/03/2009 0:00;37;841;8
04/12/2009 0:00;45;609;4
03/07/2008 0:00;29;539;8
22/12/2010 0:00;41;1029;4
30/07/2019 0:00;46;667;4
30/12/2015 0:00;78;930;4
04/12/2009 0:00;61;518;4
18/08/2010 0:00;39;677;4
18/08/2010 0:00;62;943;4
14/04/2010 0:00;63;782;4
08/09/2011 0:00;23;936;4
14/04/2010 0:00;49;823;4
08/09/2011 0:00;50;511;4
18/08/2010 0:00;41;618;4
24/10/2018 0:00;47;827;4
24/01/2012 0:00;26;994;4
11/05/2016 0:00;61;1074;4
29/10/2013 0:00;84;835;4
26/09/2016 0:00;64;1021;4
18/03/2015 0:00;22;694;4
18/03/2015 0:00;22;707;4
30/07/2019 0:00;53;1084;4
13/11/2014 0:00;53;985;4
18/03/2015 0:00;23;689;4
30/12/2015 0:00;27;1063;4
08/03/2019 0:00;62;1044;4
30/07/2019 0:00;57;945;4
26/09/2016 0:00;19;1061;4
24/10/2018 0:00;26;557;4
30/07/2019 0:00;24;870;4
30/07/2019 0:00;36;940;4
30/07/2019 0:00;36;966;4
30/07/2019 0:00;50;962;4
30/07/2019 0:00;49;692;4
24/10/2018 0:00;56;806;4
14/02/2018 0:00;52;499;4
30/07/2019 0:00;53;927;4
08/03/2019 0:00;46;999;4
30/07/2019 0:00;38;763;4
08/03/2019 0:00;37;780;4
19/06/2018 0:00;48;954;4
08/03/2019 0:00;32;954;4
30/07/2019 0:00;36;973;4
24/10/2018 0:00;78;843;4
08/03/2019 0:00;21;566;4
30/07/2019 0:00;60;549;4
30/07/2019 0:00;33;813;4
30/07/2019 0:00;36;1023;4
30/07/2019 0:00;24;754;4
23/04/2019 0:00;61;653;4
14/09/2005 0:00;41;775;8
18/01/2006 0:00;47;837;8
10/11/2012 0:00;42;692;4
26/09/2006 0:00;37;1075;8
12/10/2010 0:00;42;592;4
06/07/2012 0:00;44;493;4
14/09/2005 0:00;44;844;8
26/04/2023 0:00;44;866;4
26/04/2023 0:00;56;1078;4
18/01/2006 0:00;31;526;8
16/02/2011 0:00;46;616;4
29/01/2008 0:00;47;489;4
14/12/2018 0:00;43;918;4
18/01/2006 0:00;37;797;8
01/06/2009 0:00;47;544;4
14/09/2005 0:00;20;827;8
14/09/2005 0:00;34;679;8
06/07/2012 0:00;42;639;4
18/01/2006 0:00;40;787;8
29/01/2008 0:00;36;797;4
28/08/2019 0:00;40;704;4
13/03/2013 0:00;53;629;4
18/01/2006 0:00;31;954;8
26/09/2006 0:00;37;940;8
26/01/2007 0:00;63;1001;8
26/01/2007 0:00;52;572;8
06/07/2012 0:00;53;922;4
29/05/2008 0:00;46;973;4
05/02/2010 0:00;34;962;4
06/10/2009 0:00;42;588;4
26/01/2007 0:00;33;1040;8
24/08/2021 0:00;58;702;4
26/07/2016 0:00;55;586;4
26/01/2007 0:00;35;641;8
27/07/2015 0:00;40;593;4
29/05/2008 0:00;44;891;4
10/11/2012 0:00;62;809;4
30/01/2009 0:00;42;882;4
29/05/2008 0:00;52;932;4
01/06/2009 0:00;31;1170;4
06/07/2012 0:00;45;470;4
