ID,FechaPrestamo,EdadPrestamo,MontoPrestado,Cuotas
1818,2005-09-05 00:00:00,35,374,8
2631,2005-09-06 00:00:00,28,254,8
2615,2005-09-06 00:00:00,49,264,8
2617,2005-09-06 00:00:00,72,346,8
2125,2005-09-07 00:00:00,21,420,8
2116,2005-09-07 00:00:00,27,201,8
2114,2005-09-07 00:00:00,33,444,8
2123,2005-09-07 00:00:00,35,366,8
2118,2005-09-07 00:00:00,48,574,8
138,2005-09-08 00:00:00,36,913,8
1083,2005-09-08 00:00:00,43,1116,8
141,2005-09-08 00:00:00,45,454,8
1388,2005-09-09 00:00:00,33,334,8
1387,2005-09-09 00:00:00,44,473,8
1381,2005-09-09 00:00:00,45,515,8
238,2005-09-14 00:00:00,20,827,8
2984,2005-09-14 00:00:00,27,551,8
2994,2005-09-14 00:00:00,33,177,8
239,2005-09-14 00:00:00,34,679,8
2976,2005-09-14 00:00:00,35,350,8
2990,2005-09-14 00:00:00,41,297,8
223,2005-09-14 00:00:00,41,775,8
229,2005-09-14 00:00:00,44,844,8
2986,2005-09-14 00:00:00,46,338,8
2982,2005-09-14 00:00:00,57,384,8
2978,2005-09-14 00:00:00,64,332,8
2991,2005-09-14 00:00:00,66,301,8
1976,2005-09-23 00:00:00,21,538,8
2264,2005-09-23 00:00:00,41,195,8
1986,2005-09-23 00:00:00,41,289,8
2279,2005-09-23 00:00:00,47,232,8
1972,2005-09-23 00:00:00,51,279,8
2277,2005-09-23 00:00:00,54,366,8
2265,2005-09-23 00:00:00,55,269,8
3262,2005-09-26 00:00:00,22,205,8
3258,2005-09-26 00:00:00,30,212,8
3257,2005-09-26 00:00:00,32,200,8
2871,2005-09-27 00:00:00,28,208,8
2866,2005-09-27 00:00:00,30,496,8
3361,2005-09-27 00:00:00,34,434,8
3358,2005-09-27 00:00:00,37,562,8
2868,2005-09-27 00:00:00,45,212,8
3355,2005-09-27 00:00:00,46,474,8
2869,2005-09-27 00:00:00,50,404,8
3388,2005-10-05 00:00:00,20,483,8
3397,2005-10-05 00:00:00,65,462,8
1652,2005-10-07 00:00:00,67,460,8
943,2005-10-12 00:00:00,20,982,8
2907,2005-10-12 00:00:00,23,513,8
938,2005-10-12 00:00:00,24,546,8
946,2005-10-12 00:00:00,37,507,8
944,2005-10-12 00:00:00,44,1074,8
942,2005-10-12 00:00:00,45,546,8
2906,2005-10-12 00:00:00,46,208,8
2904,2005-10-12 00:00:00,47,448,8
2808,2005-10-14 00:00:00,40,215,8
828,2005-10-21 00:00:00,26,512,8
818,2005-10-21 00:00:00,38,264,8
812,2005-10-21 00:00:00,40,282,8
547,2005-10-26 00:00:00,19,553,8
548,2005-10-26 00:00:00,33,332,8
541,2005-10-26 00:00:00,41,306,8
543,2005-10-26 00:00:00,44,427,8
736,2005-10-28 00:00:00,21,607,8
1528,2005-10-28 00:00:00,26,355,8
733,2005-10-28 00:00:00,26,620,8
721,2005-10-28 00:00:00,44,525,8
1523,2005-10-28 00:00:00,45,396,8
1529,2005-10-28 00:00:00,53,249,8
738,2005-10-28 00:00:00,60,856,8
1525,2005-10-28 00:00:00,63,405,8
480,2005-11-15 00:00:00,22,778,8
476,2005-11-15 00:00:00,47,844,8
471,2005-11-15 00:00:00,62,853,8
2837,2005-11-24 00:00:00,22,353,8
2832,2005-11-24 00:00:00,22,464,8
2840,2005-11-24 00:00:00,27,310,8
2841,2005-11-24 00:00:00,35,448,8
2842,2005-11-24 00:00:00,43,336,8
2836,2005-11-24 00:00:00,44,383,8
2835,2005-11-24 00:00:00,51,281,8
2833,2005-11-24 00:00:00,53,211,8
2844,2005-11-24 00:00:00,59,440,8
2426,2005-11-25 00:00:00,33,458,8
2433,2005-11-25 00:00:00,45,204,8
