Ideconomico;FechaPrestamo;EdadPrestamo;MontoPrestado;Cuotas;;;;
100;20/12/2018 0:00;64;1221;4;;;;
101;21/12/2017 0:00;49;932;4;;;;
102;02/03/2007 0:00;45;883;8;;;;
103;13/11/2007 0:00;41;626;8;;;;
104;26/01/2011 0:00;57;786;4;;;;
105;04/04/2023 0:00;72;796;4;;;;
106;18/12/2015 0:00;66;764;4;;;;
107;05/08/2008 0:00;52;629;8;;;;
108;22/06/2006 0:00;44;648;8;;;;
109;13/11/2007 0:00;30;1074;8;;;;`
110;06/07/2007 0:00;31;454;8;;;;
111;26/08/2015 0:00;36;864;4;;;;
112;06/07/2007 0:00;45;775;8;;;;
113;26/01/2011 0:00;44;565;4;;;;
114;13/11/2007 0:00;33;722;8;;;;
115;23/12/2009 0:00;44;626;4;;;;
116;23/12/2009 0:00;32;756;4;;;;
117;23/12/2009 0:00;42;711;4;;;;
118;06/07/2007 0:00;41;875;8;;;;
119;31/08/2009 0:00;34;863;8;;;;
120;05/08/2008 0:00;30;754;8;;;;
121;04/04/2023 0:00;63;984;4;;;;
122;13/11/2007 0:00;60;588;8;;;;
123;26/01/2011 0:00;41;609;4;;;;
124;23/04/2019 0:00;44;912;4;;;;
125;21/12/2016 0:00;31;927;4;;;;
126;04/04/2023 0:00;39;1074;4;;;;
127;24/04/2009 0:00;32;525;8;;;;
128;04/04/2023 0:00;44;675;4;;;;
129;23/12/2019 0:00;60;495;4;;;;
130;26/08/2015 0:00;35;824;4;;;;
131;25/04/2017 0:00;46;732;4;;;;
132;31/08/2009 0:00;41;889;8;;;;
133;24/04/2013 0:00;33;752;4;;;;
134;05/05/2010 0:00;30;810;4;;;;
135;25/04/2016 0:00;41;756;4;;;;
136;20/03/2012 0:00;39;860;4;;;;
137;28/08/2018 0:00;53;559;4;;;;
138;24/04/2013 0:00;37;1136;4;;;;
139;31/08/2013 0:00;48;686;4;;;;
140;23/04/2019 0:00;61;807;4;;;;
141;18/12/2014 0:00;53;1183;4;;;;
142;13/11/2020 0:00;46;780;4;;;;
143;20/12/2018 0:00;44;1096;4;;;;
144;18/12/2015 0:00;40;993;4;;;;
145;04/04/2023 0:00;40;997;4;;;;
146;21/12/2017 0:00;41;984;4;;;;
147;04/04/2023 0:00;66;948;4;;;;
148;04/04/2023 0:00;25;836;4;;;;
149;04/04/2023 0:00;29;1006;4;;;;
150;04/04/2023 0:00;45;693;4;;;;
151;04/04/2023 0:00;72;833;4;;;;
152;04/04/2023 0:00;34;701;4;;;;
153;28/08/2018 0:00;27;862;4;;;;
154;20/12/2018 0:00;21;826;4;;;;
155;04/04/2023 0:00;46;807;4;;;;
156;26/08/2019 0:00;22;1124;4;;;;
157;04/04/2023 0:00;54;748;4;;;;
158;13/11/2020 0:00;50;942;4;;;;
159;09/07/2020 0:00;34;1107;4;;;;
160;28/11/2022 0:00;50;800;4;;;;
161;04/04/2023 0:00;43;964;4;;;;
162;20/07/2022 0:00;55;712;4;;;;
163;04/04/2023 0:00;68;485;4;;;;
164;17/11/2021 0:00;27;687;4;;;;
165;04/04/2023 0:00;48;656;4;;;;
166;04/04/2023 0:00;60;856;4;;;;
167;28/11/2022 0:00;30;880;4;;;;
168;04/04/2023 0:00;37;669;4;;;;
169;28/11/2022 0:00;37;874;4;;;;
170;04/04/2023 0:00;75;1050;4;;;;
171;20/07/2022 0:00;30;586;4;;;;
172;28/11/2022 0:00;52;1000;4;;;;
173;04/04/2023 0:00;55;982;4;;;;
174;04/04/2023 0:00;36;623;4;;;;
175;04/04/2023 0:00;36;1107;4;;;;
176;04/04/2023 0:00;63;702;4;;;;
177;20/01/2006 0:00;47;503;8;;;;
178;13/12/2007 0:00;51;764;8;;;;
179;29/05/2012 0:00;40;1120;4;;;;
180;06/06/2006 0:00;36;1005;8;;;;
181;21/02/2014 0:00;57;649;4;;;;
182;02/10/2012 0:00;42;518;4;;;;
183;24/09/2008 0:00;33;637;8;;;;
184;06/06/2006 0:00;30;1055;8;;;;
185;13/12/2007 0:00;25;569;8;;;;
186;22/12/2017 0:00;66;688;4;;;;
187;06/06/2006 0:00;29;810;8;;;;
188;30/03/2016 0:00;56;921;4;;;;
189;13/12/2007 0:00;21;596;8;;;;
190;22/12/2017 0:00;52;566;4;;;;
191;06/06/2006 0:00;45;824;8;;;;
192;03/11/2006 0:00;24;1012;8;;;;
193;03/11/2006 0:00;22;905;8;;;;
194;13/12/2007 0:00;27;890;8;;;;
195;21/02/2014 0:00;50;925;4;;;;
196;19/11/2015 0:00;55;575;4;;;;
197;04/05/2011 0:00;34;765;4;;;;
198;22/12/2017 0:00;66;658;4;;;;
199;27/07/2007 0:00;28;636;8;;;;
200;27/07/2007 0:00;24;687;8;;;;
201;27/07/2007 0:00;21;828;8;;;;
202;13/12/2007 0:00;43;882;8;;;;
203;24/09/2008 0:00;26;586;8;;;;
204;24/09/2008 0:00;23;637;8;;;;
205;25/11/2009 0:00;27;735;4;;;;
206;12/08/2016 0:00;59;1078;4;;;;
207;06/03/2015 0:00;59;544;4;;;;
208;31/10/2014 0:00;69;1016;4;;;;
209;02/10/2012 0:00;62;626;4;;;;
210;31/08/2017 0:00;35;625;4;;;;
211;12/08/2016 0:00;46;716;4;;;;
212;19/11/2015 0:00;25;632;4;;;;
213;09/04/2010 0:00;26;710;4;;;;
214;09/04/2010 0:00;65;778;4;;;;
215;02/10/2012 0:00;45;697;4;;;;
216;02/10/2012 0:00;24;558;4;;;;
217;22/12/2017 0:00;32;954;4;;;;
218;12/08/2016 0:00;62;541;4;;;;
219;22/12/2017 0:00;38;672;4;;;;
220;30/03/2016 0:00;29;1130;4;;;;
221;18/10/2013 0:00;25;781;4;;;;
222;14/06/2013 0:00;40;939;4;;;;
223;09/02/2013 0:00;36;660;4;;;;
224;27/06/2014 0:00;34;691;4;;;;
225;22/12/2017 0:00;72;644;4;;;;
226;26/12/2016 0:00;27;934;4;;;;
227;09/07/2015 0:00;41;757;4;;;;
228;30/03/2016 0:00;37;768;4;;;;
229;22/12/2017 0:00;43;767;4;;;;
230;22/12/2017 0:00;54;656;4;;;;
231;30/03/2016 0:00;26;516;4;;;;
232;30/03/2016 0:00;34;973;4;;;;
233;22/12/2017 0:00;33;586;4;;;;
234;22/12/2017 0:00;31;1032;4;;;;
235;04/12/2009 0:00;55;1110;4;;;;
236;28/02/2008 0:00;61;664;8;;;;
237;08/09/2005 0:00;36;913;8;;;;
238;30/07/2019 0:00;70;650;4;;;;
239;30/07/2019 0:00;56;863;4;;;;
240;08/09/2005 0:00;45;454;8;;;;
241;30/12/2015 0:00;36;993;4;;;;
242;22/10/2007 0:00;36;871;8;;;;
243;29/10/2013 0:00;49;891;4;;;;
244;18/08/2010 0:00;47;1123;4;;;;
245;30/07/2019 0:00;49;692;4;;;;
246;03/07/2008 0:00;41;661;8;;;;
247;30/07/2019 0:00;54;701;4;;;;
248;19/03/2009 0:00;40;944;8;;;;
249;29/04/2011 0:00;39;1092;4;;;;
250;29/04/2011 0:00;45;906;4;;;;
251;24/01/2012 0:00;59;746;4;;;;
252;24/07/2009 0:00;55;852;8;;;;
253;02/10/2006 0:00;28;844;8;;;;
254;26/05/2006 0:00;29;757;8;;;;
255;03/07/2008 0:00;50;901;8;;;;
256;08/03/2019 0:00;63;848;4;;;;
257;11/10/2017 0:00;54;699;4;;;;
258;22/10/2007 0:00;50;752;8;;;;
259;03/07/2008 0:00;48;577;8;;;;
260;30/07/2019 0:00;51;678;4;;;;
261;05/02/2007 0:00;35;793;8;;;;
262;03/07/2008 0:00;26;524;8;;;;
263;05/02/2007 0:00;32;1013;8;;;;
264;08/09/2011 0:00;50;816;4;;;;
265;24/10/2018 0:00;70;872;4;;;;
266;24/10/2018 0:00;67;731;4;;;;
267;19/03/2009 0:00;33;508;8;;;;
268;08/03/2019 0:00;33;624;4;;;;
269;03/07/2008 0:00;38;952;8;;;;
270;19/03/2009 0:00;28;997;8;;;;
271;11/11/2008 0:00;38;885;8;;;;
272;19/03/2009 0:00;37;841;8;;;;
273;04/12/2009 0:00;45;609;4;;;;
274;03/07/2008 0:00;29;539;8;;;;
275;22/12/2010 0:00;41;1029;4;;;;
276;30/07/2019 0:00;46;667;4;;;;
277;30/12/2015 0:00;78;930;4;;;;
278;04/12/2009 0:00;61;518;4;;;;
279;18/08/2010 0:00;39;677;4;;;;
280;18/08/2010 0:00;62;943;4;;;;
281;14/04/2010 0:00;63;782;4;;;;
282;08/09/2011 0:00;23;936;4;;;;
283;14/04/2010 0:00;49;823;4;;;;
284;08/09/2011 0:00;50;511;4;;;;
285;18/08/2010 0:00;41;618;4;;;;
286;24/10/2018 0:00;47;827;4;;;;
287;24/01/2012 0:00;26;994;4;;;;
288;11/05/2016 0:00;61;1074;4;;;;
289;29/10/2013 0:00;84;835;4;;;;
290;26/09/2016 0:00;64;1021;4;;;;
291;18/03/2015 0:00;22;694;4;;;;
292;18/03/2015 0:00;22;707;4;;;;
293;30/07/2019 0:00;53;1084;4;;;;
294;13/11/2014 0:00;53;985;4;;;;
295;18/03/2015 0:00;23;689;4;;;;
296;30/12/2015 0:00;27;1063;4;;;;
297;08/03/2019 0:00;62;1044;4;;;;
298;30/07/2019 0:00;57;945;4;;;;
299;26/09/2016 0:00;19;1061;4;;;;
300;24/10/2018 0:00;26;557;4;;;;
301;30/07/2019 0:00;24;870;4;;;;
302;30/07/2019 0:00;36;940;4;;;;
303;30/07/2019 0:00;36;966;4;;;;
304;30/07/2019 0:00;50;962;4;;;;
305;30/07/2019 0:00;49;692;4;;;;
306;24/10/2018 0:00;56;806;4;;;;
307;14/02/2018 0:00;52;499;4;;;;
308;30/07/2019 0:00;53;927;4;;;;
309;08/03/2019 0:00;46;999;4;;;;
310;30/07/2019 0:00;38;763;4;;;;
311;08/03/2019 0:00;37;780;4;;;;
312;19/06/2018 0:00;48;954;4;;;;
313;08/03/2019 0:00;32;954;4;;;;
314;30/07/2019 0:00;36;973;4;;;;
315;24/10/2018 0:00;78;843;4;;;;
316;08/03/2019 0:00;21;566;4;;;;
317;30/07/2019 0:00;60;549;4;;;;
318;30/07/2019 0:00;33;813;4;;;;
319;30/07/2019 0:00;36;1023;4;;;;
320;30/07/2019 0:00;24;754;4;;;;
321;23/04/2019 0:00;61;653;4;;;;
322;14/09/2005 0:00;41;775;8;;;;
323;18/01/2006 0:00;47;837;8;;;;
324;10/11/2012 0:00;42;692;4;;;;
325;26/09/2006 0:00;37;1075;8;;;;
326;12/10/2010 0:00;42;592;4;;;;
327;06/07/2012 0:00;44;493;4;;;;
328;14/09/2005 0:00;44;844;8;;;;
329;26/04/2023 0:00;44;866;4;;;;
330;26/04/2023 0:00;56;1078;4;;;;
331;18/01/2006 0:00;31;526;8;;;;
332;16/02/2011 0:00;46;616;4;;;;
333;29/01/2008 0:00;47;489;4;;;;
334;14/12/2018 0:00;43;918;4;;;;
335;18/01/2006 0:00;37;797;8;;;;
336;01/06/2009 0:00;47;544;4;;;;
337;14/09/2005 0:00;20;827;8;;;;
338;14/09/2005 0:00;34;679;8;;;;
339;06/07/2012 0:00;42;639;4;;;;
340;18/01/2006 0:00;40;787;8;;;;
341;29/01/2008 0:00;36;797;4;;;;
342;28/08/2019 0:00;40;704;4;;;;
343;13/03/2013 0:00;53;629;4;;;;
344;18/01/2006 0:00;31;954;8;;;;
345;26/09/2006 0:00;37;940;8;;;;
346;26/01/2007 0:00;63;1001;8;;;;
347;26/01/2007 0:00;52;572;8;;;;
348;06/07/2012 0:00;53;922;4;;;;
349;29/05/2008 0:00;46;973;4;;;;
350;05/02/2010 0:00;34;962;4;;;;
351;06/10/2009 0:00;42;588;4;;;;
352;26/01/2007 0:00;33;1040;8;;;;
353;24/08/2021 0:00;58;702;4;;;;
354;26/07/2016 0:00;55;586;4;;;;
355;26/01/2007 0:00;35;641;8;;;;
356;27/07/2015 0:00;40;593;4;;;;
357;29/05/2008 0:00;44;891;4;;;;
358;10/11/2012 0:00;62;809;4;;;;
359;30/01/2009 0:00;42;882;4;;;;
360;29/05/2008 0:00;52;932;4;;;;
361;01/06/2009 0:00;31;1170;4;;;;
362;06/07/2012 0:00;45;470;4;;;;
363;29/09/2007 0:00;41;632;8;;;;
364;29/05/2008 0:00;40;1044;4;;;;
365;01/06/2009 0:00;42;675;4;;;;
366;29/05/2008 0:00;30;811;4;;;;
367;16/02/2011 0:00;33;705;4;;;;
368;30/01/2009 0:00;53;861;4;;;;
369;12/10/2010 0:00;52;642;4;;;;
370;27/02/2012 0:00;50;676;4;;;;
371;30/01/2009 0:00;20;752;4;;;;
372;27/07/2017 0:00;38;680;4;;;;
373;05/02/2010 0:00;23;747;4;;;;
374;05/02/2010 0:00;32;796;4;;;;
375;06/07/2012 0:00;35;535;4;;;;
376;16/02/2011 0:00;44;765;4;;;;
377;29/03/2016 0:00;26;867;4;;;;
378;27/02/2012 0:00;38;808;4;;;;
379;27/02/2012 0:00;27;881;4;;;;
380;27/02/2012 0:00;34;927;4;;;;
381;28/11/2017 0:00;28;968;4;;;;
382;26/04/2023 0:00;57;808;4;;;;
383;26/11/2014 0:00;33;770;4;;;;
384;26/04/2023 0:00;54;646;4;;;;
385;30/03/2015 0:00;44;669;4;;;;
386;17/07/2013 0:00;41;639;4;;;;
387;24/08/2021 0:00;60;881;4;;;;
388;20/11/2013 0:00;40;1148;4;;;;
389;26/07/2016 0:00;25;578;4;;;;
390;20/11/2013 0:00;25;800;4;;;;
391;25/07/2014 0:00;33;590;4;;;;
392;25/07/2014 0:00;32;854;4;;;;
393;26/11/2015 0:00;23;677;4;;;;
394;25/07/2014 0:00;20;777;4;;;;
395;27/07/2015 0:00;71;699;4;;;;
396;27/07/2015 0:00;47;689;4;;;;
397;28/11/2016 0:00;34;1031;4;;;;
398;29/03/2016 0:00;24;547;4;;;;
399;29/03/2016 0:00;36;1072;4;;;;
400;29/03/2016 0:00;42;617;4;;;;
401;14/12/2018 0:00;41;1014;4;;;;
402;28/11/2016 0:00;49;502;4;;;;
403;26/07/2016 0:00;36;1013;4;;;;
404;26/04/2023 0:00;34;904;4;;;;
405;26/07/2016 0:00;43;958;4;;;;
406;29/03/2016 0:00;37;746;4;;;;
407;28/08/2019 0:00;41;1161;4;;;;
408;26/04/2023 0:00;56;700;4;;;;
409;09/08/2018 0:00;60;695;4;;;;
410;26/04/2023 0:00;37;1021;4;;;;
411;09/08/2018 0:00;57;1026;4;;;;
412;26/04/2023 0:00;37;828;4;;;;
413;23/12/2019 0:00;36;1073;4;;;;
414;05/04/2018 0:00;18;875;4;;;;
415;23/12/2019 0:00;53;870;4;;;;
416;05/04/2018 0:00;26;1042;4;;;;
417;23/12/2019 0:00;65;828;4;;;;
418;14/12/2018 0:00;20;670;4;;;;
419;09/08/2018 0:00;41;645;4;;;;
420;23/12/2019 0:00;65;1101;4;;;;
421;28/08/2019 0:00;29;769;4;;;;
422;11/12/2020 0:00;41;773;4;;;;
423;26/04/2023 0:00;42;541;4;;;;
424;26/04/2023 0:00;38;776;4;;;;
425;26/04/2023 0:00;62;641;4;;;;
426;26/04/2023 0:00;34;1027;4;;;;
427;26/04/2023 0:00;23;894;4;;;;
428;26/04/2023 0:00;49;1102;4;;;;
429;26/04/2023 0:00;35;690;4;;;;
430;26/04/2023 0:00;22;881;4;;;;
431;22/07/2010 0:00;41;559;4;;;;
432;12/06/2007 0:00;44;847;8;;;;
433;29/11/2010 0:00;34;677;4;;;;
434;30/05/2006 0:00;41;844;8;;;;
435;29/11/2010 0:00;40;849;4;;;;
436;22/07/2010 0:00;67;885;4;;;;
437;29/11/2010 0:00;43;784;4;;;;
438;12/06/2007 0:00;40;671;8;;;;
439;30/05/2006 0:00;48;918;8;;;;
440;21/12/2022 0:00;77;950;4;;;;
441;17/10/2007 0:00;35;1200;8;;;;
442;29/11/2010 0:00;52;941;4;;;;
443;19/03/2010 0:00;46;1052;4;;;;
444;22/07/2010 0:00;38;636;4;;;;
445;30/10/2008 0:00;32;867;8;;;;
446;11/11/2009 0:00;26;1175;4;;;;
447;21/12/2022 0:00;57;1045;4;;;;
448;30/10/2008 0:00;33;855;8;;;;
449;20/02/2008 0:00;48;727;8;;;;
450;30/10/2008 0:00;25;713;8;;;;
451;07/02/2007 0:00;38;1023;8;;;;
452;30/05/2006 0:00;35;599;8;;;;
453;12/06/2007 0:00;32;972;8;;;;
454;30/10/2008 0:00;58;945;8;;;;
455;12/06/2007 0:00;48;809;8;;;;
456;06/10/2006 0:00;30;672;8;;;;
457;17/10/2007 0:00;55;823;8;;;;
458;12/06/2007 0:00;59;689;8;;;;
459;30/10/2008 0:00;21;883;8;;;;
460;11/11/2009 0:00;38;1002;4;;;;
461;29/11/2010 0:00;71;806;4;;;;
462;21/12/2018 0:00;33;686;4;;;;
463;17/10/2007 0:00;46;778;8;;;;
464;20/02/2008 0:00;51;715;8;;;;
465;22/07/2010 0:00;54;840;4;;;;
466;08/04/2016 0:00;33;878;4;;;;
467;30/10/2008 0:00;37;662;8;;;;
468;26/06/2008 0:00;39;851;8;;;;
469;26/06/2008 0:00;30;797;8;;;;
470;17/12/2019 0:00;71;783;4;;;;
471;28/08/2018 0:00;73;662;4;;;;
472;22/07/2010 0:00;30;757;4;;;;
473;06/08/2020 0:00;48;793;4;;;;
474;11/11/2009 0:00;30;862;4;;;;
475;21/12/2022 0:00;56;495;4;;;;
476;21/11/2014 0:00;43;607;4;;;;
477;22/07/2010 0:00;75;1113;4;;;;
478;29/11/2010 0:00;37;1000;4;;;;
479;29/11/2010 0:00;42;612;4;;;;
480;26/01/2012 0:00;34;745;4;;;;
481;26/01/2012 0:00;27;784;4;;;;
482;14/06/2012 0:00;45;725;4;;;;
483;31/10/2013 0:00;32;613;4;;;;
484;31/10/2013 0:00;53;799;4;;;;
485;09/04/2021 0:00;59;922;4;;;;
486;31/10/2013 0:00;61;1176;4;;;;
487;23/08/2022 0:00;43;554;4;;;;
488;17/10/2012 0:00;19;645;4;;;;
489;22/02/2013 0:00;23;606;4;;;;
490;21/12/2022 0:00;55;529;4;;;;
491;31/10/2013 0:00;32;575;4;;;;
492;21/12/2018 0:00;35;583;4;;;;
493;21/04/2022 0:00;61;883;4;;;;
494;21/11/2014 0:00;62;860;4;;;;
495;31/10/2013 0:00;25;533;4;;;;
496;31/10/2013 0:00;27;666;4;;;;
497;06/03/2014 0:00;44;543;4;;;;
498;25/04/2019 0:00;48;612;4;;;;
499;27/04/2018 0:00;37;728;4;;;;
500;14/07/2014 0:00;26;808;4;;;;
501;14/07/2014 0:00;30;1063;4;;;;
502;15/12/2016 0:00;37;664;4;;;;
503;27/04/2018 0:00;23;571;4;;;;
504;21/12/2022 0:00;60;913;4;;;;
505;27/03/2015 0:00;39;536;4;;;;
506;17/12/2019 0:00;46;717;4;;;;
507;21/12/2022 0:00;65;832;4;;;;
508;25/04/2017 0:00;60;787;4;;;;
509;21/12/2018 0:00;57;936;4;;;;
510;28/08/2019 0:00;49;674;4;;;;
511;21/12/2022 0:00;47;1026;4;;;;
512;21/12/2022 0:00;40;889;4;;;;
513;21/12/2018 0:00;24;828;4;;;;
514;25/04/2019 0:00;35;756;4;;;;
515;06/08/2020 0:00;53;626;4;;;;
516;17/12/2019 0:00;39;547;4;;;;
517;06/08/2020 0:00;21;584;4;;;;
518;28/08/2019 0:00;37;464;4;;;;
519;09/04/2021 0:00;24;744;4;;;;
520;21/04/2022 0:00;40;989;4;;;;
521;09/04/2021 0:00;20;487;4;;;;
522;17/12/2019 0:00;44;639;4;;;;
523;21/12/2022 0:00;29;1170;4;;;;
524;09/04/2021 0:00;33;964;4;;;;
525;21/12/2022 0:00;28;886;4;;;;
526;21/12/2022 0:00;31;644;4;;;;
527;21/12/2022 0:00;50;696;4;;;;
528;21/12/2022 0:00;39;871;4;;;;
529;23/08/2022 0:00;53;735;4;;;;
530;21/12/2022 0:00;69;1080;4;;;;
531;06/11/2008 0:00;22;686;8;;;;
532;14/12/2011 0:00;44;1179;4;;;;
533;10/08/2010 0:00;70;714;4;;;;
534;31/03/2016 0:00;50;588;4;;;;
535;17/09/2007 0:00;31;899;8;;;;
536;06/11/2008 0:00;41;656;8;;;;
537;03/06/2015 0:00;39;644;4;;;;
538;07/02/2008 0:00;27;721;8;;;;
539;31/03/2016 0:00;27;767;4;;;;
540;13/07/2009 0:00;38;899;8;;;;
541;25/11/2009 0:00;42;731;4;;;;
542;30/04/2014 0:00;46;558;4;;;;
543;25/11/2009 0:00;40;639;4;;;;
544;31/03/2016 0:00;30;974;4;;;;
545;25/11/2009 0:00;20;541;4;;;;
546;10/08/2010 0:00;54;643;4;;;;
547;05/09/2014 0:00;24;572;4;;;;
